IHID,ProgramID,ProgramName,GovernmentName,GovernmentType,CensusID,Census Type,AddressStreet,City,County,State,name,Government Address: Zip,Program Applicable Areas,Year Program Adopted,Year Program Updated,3rd Party Managing Entity,Data Entry Year,Unit- vs. Fee-based Program?,Program Type and Development Type,Program Type,Development Type,(Ownership) Resale Restriction Exists?,(Ownership) Resale Formula Exists?,(Rental) Rent restriction Exists?,(Rental) Rent restriction Exists?,(Rental) Compliance Monitoring Exists?,(Rental) Timing of Income Certification,(Rental) Noncompliance Remedies/Enforcement,"""Right of 1st Refusal"" Exists?",Incentive,Affordable Housing Compliance Option,Minimum Project Size,Minimum Set-aside,Any Set-aside Requirement At 20% Or More?,Highest Income Served,Lowest Income Served,(Rental) Income Requirement Type,(Rental) Single Income Requirement Detail,(Rental) Multiple Tiers of Income Targeting Detail,(Ownership) Income Requirement Type,(Ownership) Single Income Requirement Detail,(Ownership) Multiple Tiers of Income Targeting Detail,(Rental) Term of Affordability,(Rental) Affordability Term Restart?,(Ownership) Term of Affordability,(Ownership) Affordability Term Restart?,TotalAffordableRentalUnits,TotalAffordableOwnershipUnits,TotalAffordableUnits,In-Lieu Fees,Program Type,Commercial Development Type,Office Development Fee Rate,Industrial Development Fee Rate,Retail/Service Development Fee Rate,Hotel Development Fee Rate,R&D Fee Rate,Commercial Development Exemptions,Residential Development Type,Rental Fee Rate,Single Family For-Sale Fee Rate,Multifamily For-Sale Fee Rate,Townhouse For-Sale Fee Rate,Alternative Compliance Option,Fee Amount - Residential Development,Fees Amount - Commercial Development,Total Affordable Units
733,"Lacey Township, NJ: Residential Development Fee",Residential Development Fee,Lacey Township,Town or city,0600000US3402937380,County Subdivision,818 W. Lacey Road,Forked River,Ocean,NJ,New Jersey,8731,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
734,"Lafayette Township, NJ: Residential Development Fee",Residential Development Fee,Lafayette Township,Town or city,0600000US3403737440,County Subdivision,33 Morris Farm Road,Lafayette Township,Sussex,NJ,New Jersey,7848,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
735,"Lambertville City, NJ: Residential Development Fee",Residential Development Fee,Lambertville City,Town or city,0600000US3401938610,County Subdivision,18 York Street,Lambertville,Hunterdon,NJ,New Jersey,8530,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.02 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
736,"Lawrence Township, NJ: Residential Development Fee",Residential Development Fee,Lawrence Township,Town or city,0600000US3401139450,County Subdivision,2207 Lawrence Road,Lawrence Township,Mercer,NJ,New Jersey,8648,,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,,"Single family for-sale, multifamily for-sale, townhouse for-sale",,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
738,"Lebanon Township, NJ: Residential Development Fee",Residential Development Fee,Lebanon Township,Town or city,0600000US3401939660,County Subdivision,6 High Street,Lebanon,Hunterdon,NJ,New Jersey,8833,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
740,"Lincoln Park Borough, NJ: Residential Development Fee",Residential Development Fee,Lincoln Park Borough,Town or city,0600000US3402740290,County Subdivision,34 Chapel Hill Road,Lincoln Park,Morris,NJ,New Jersey,7035,,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,,"Single family for-sale, multifamily for-sale, townhouse for-sale",,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
741,"Lindenwold Borough, NJ: Residential Development Fee",Residential Development Fee,Lindenwold Borough,Town or city,0600000US3400740440,County Subdivision,15 N. White Horse Pike,Lindenwold,Camden,NJ,New Jersey,8021,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,,,,
743,"Linwood City, NJ: Residential Development Fee",Residential Development Fee,Linwood City,Town or city,0600000US3400140530,County Subdivision,400 Poplar Ave,Linwood,Atlantic,NJ,New Jersey,8221,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
744,"Little Falls Township, NJ: Residential Development Fee",Residential Development Fee,Little Falls Township,Town or city,0600000US3403140620,County Subdivision,225 Main Street,Little Falls,Passaic,NJ,New Jersey,7424,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
745,"Long Hill Township, NJ: Residential Development Fee",Residential Development Fee,Long Hill Township,Town or city,0600000US3402741362,County Subdivision,915 Vally Road,Gillette,Morris,NJ,New Jersey,7933,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
746,"Lower Township, NJ: Residential Development Fee",Residential Development Fee,Lower Township,Town or city,0600000US3400941610,County Subdivision,2600 Bayshore Road,Villas,Cape May,NJ,New Jersey,8251,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
747,"Lumberton Township, NJ: Residential Development Fee",Residential Development Fee,Lumberton Township,Town or city,0600000US3400542060,County Subdivision,35 Municipal Drive,Lumberton,Burlington,NJ,New Jersey,8048,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
749,"Madison Borough, NJ: Residential Development Fee",Residential Development Fee,Madison Borough,Town or city,0600000US3402742510,County Subdivision,50 Kings Road,Madison,Morris,NJ,New Jersey,7940,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.01 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
750,"Manalapan Township, NJ: Residential Development Fee",Residential Development Fee,Manalapan Township,Town or city,0600000US3402542990,County Subdivision,120 Route 522,Manalapan,Monmouth,NJ,New Jersey,7726,"Entire jurisdiction but requirements vary by zones, neighborhood, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
751,"Manasquan Borough, NJ: Residential Development Fee",Residential Development Fee,Manasquan Borough,Town or city,0600000US3402543050,County Subdivision,201 East Main Street,Manasquan,Monmouth,NJ,New Jersey,8736,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.05 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,,,,
752,"Maple Shade Township, NJ: Residential Development Fee",Residential Development Fee,Maple Shade Township,Town or city,0600000US3400543740,County Subdivision,200 Stiles Avenue,Maple Shade,Burlington,NJ,New Jersey,8052,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
753,"Maplewood Township, NJ: Residential Development Fee",Residential Development Fee,Maplewood Township,Town or city,0600000US3401343800,County Subdivision,574 Valley Street,Maplewood,Essex,NJ,New Jersey,7040,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
754,"Middle Township, NJ: Residential Development Fee",Residential Development Fee,Middle Township,Town or city,0600000US3400945810,County Subdivision,33 Mechanic Street,Cape May Court House,Cape May,NJ,New Jersey,8210,Entire jurisdiction,,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.015 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,$0.01 equalized assessed value for residential development,,,,
755,"Middletown Township, NJ: Residential Development Fee",Residential Development Fee,Middletown Township,Town or city,0600000US3402545990,County Subdivision,1 Kings Highway,Middletown,Monmouth,NJ,New Jersey,7748,"Certain zones, neighborhoods, or districts",,,,2019,Linkage/Impact Fee Program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Residential development impact fee,,,,,,,Affordable housing or developments with payment in lieu of on-site affordable units,"Rental, single family for-sale, multifamily for-sale, townhouse for-sale",$0.06 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,$0.015 equalized assessed value for residential development,,,,
